sample_index,P,K,Mg,pH
1523,38.9,189.0,169.0,6.5
1524,39.4,171.0,159.0,6.6
1525,49.8,162.0,145.0,6.5
1526,47.9,170.0,146.0,6.5
1527,34.1,147.0,130.0,6.5
1528,33.9,143.0,121.0,6.6
1529,39.0,162.0,121.0,6.8
1530,39.2,180.0,116.0,6.5
1531,54.0,189.0,152.0,6.5
1532,59.2,198.0,169.0,6.5
1533,97.2,195.0,173.0,6.5
1534,95.9,195.0,179.0,6.6
1535,102.0,176.0,181.0,6.7
1536,117.0,195.0,159.0,6.9
1537,89.9,214.0,138.0,6.7
1538,47.7,171.0,123.0,6.3
1539,51.5,174.0,123.0,6.0
1540,66.8,200.0,114.0,6.4
1541,55.7,210.0,119.0,6.3
1542,68.9,208.0,121.0,6.4
1543,78.5,206.0,106.0,6.5
1544,67.5,189.0,129.0,6.5
1545,71.8,219.0,133.0,6.4
1546,63.3,189.0,125.0,6.5
1547,51.4,193.0,141.0,6.4
1548,43.0,182.0,139.0,6.3
1549,51.0,217.0,152.0,6.3
1550,53.2,204.0,138.0,6.4
1551,47.6,186.0,134.0,6.2
1552,44.3,188.0,137.0,6.7
1553,46.5,196.0,137.0,6.8
1554,63.3,206.0,141.0,6.6
1555,60.2,180.0,145.0,6.8
1556,121.0,149.0,126.0,6.7
1557,44.1,167.0,126.0,6.9
1558,49.5,173.0,125.0,6.9
1559,50.3,167.0,119.0,6.7
1560,74.7,181.0,122.0,6.7
1561,66.4,177.0,124.0,6.7
1562,59.7,202.0,138.0,6.8
1563,59.4,204.0,147.0,6.7
1564,56.5,161.0,149.0,6.7
1565,56.7,174.0,164.0,6.6
1566,65.2,162.0,145.0,6.6
1567,66.6,180.0,148.0,6.6
1568,70.8,223.0,182.0,6.7
1569,60.6,182.0,181.0,6.7
1570,47.9,165.0,181.0,6.8
1571,67.3,221.0,152.0,6.9
1572,89.6,256.0,160.0,6.9
1573,103.0,273.0,170.0,7.0
1574,82.4,233.0,162.0,6.8
1575,83.6,235.0,159.0,6.7
1576,74.5,207.0,145.0,6.5
1577,73.9,156.0,127.0,6.5
1578,54.6,144.0,130.0,6.9
1579,45.0,140.0,125.0,7.0
1580,65.8,173.0,122.0,6.9
1581,53.5,179.0,136.0,6.5
1582,48.0,184.0,128.0,6.5
1583,45.6,172.0,123.0,6.7
1584,73.3,214.0,137.0,6.7
1585,78.1,243.0,140.0,6.7
1586,108.0,275.0,150.0,6.8
1587,107.0,295.0,161.0,6.8
1588,76.4,232.0,173.0,6.9
1589,78.4,238.0,185.0,6.7
1590,58.4,214.0,176.0,6.7
1591,61.9,210.0,167.0,6.8
1592,47.0,178.0,169.0,6.8
1593,71.4,215.0,168.0,6.8
1594,58.8,211.0,132.0,6.7
1595,41.3,199.0,135.0,6.7
1596,57.2,195.0,129.0,6.8
1597,72.3,214.0,131.0,6.9
1598,89.7,220.0,135.0,6.6
1599,84.7,176.0,129.0,6.7
1600,100.0,219.0,122.0,6.7
1601,108.0,239.0,129.0,6.8
1602,96.2,226.0,140.0,6.8
1603,73.4,193.0,150.0,6.7
1604,83.7,172.0,138.0,6.7
1605,90.8,194.0,147.0,6.8
1606,100.0,216.0,146.0,6.8
1607,83.0,214.0,150.0,6.7
1608,87.1,219.0,148.0,6.8
1609,92.3,205.0,148.0,6.8
1610,82.8,218.0,172.0,6.8
1611,116.0,214.0,140.0,6.8
1612,95.1,182.0,140.0,6.8
1613,84.2,184.0,150.0,6.7
1614,97.3,222.0,151.0,6.8
1615,107.0,264.0,143.0,6.7
1616,104.0,354.0,129.0,6.7
1617,104.0,351.0,146.0,6.7
1618,127.0,382.0,138.0,6.9
1619,86.3,246.0,140.0,6.9
1620,72.8,228.0,131.0,6.7
1621,61.1,206.0,125.0,6.7
1622,129.0,328.0,108.0,6.8
1623,115.0,276.0,95.4,6.8
1624,81.2,246.0,83.5,6.8
1625,74.8,175.0,98.4,6.7
1626,89.4,170.0,124.0,6.3
1627,64.1,164.0,139.0,6.9
1628,54.3,149.0,141.0,7.0
1629,48.6,161.0,144.0,6.8
1630,68.1,179.0,146.0,6.8
1631,63.8,181.0,157.0,6.8
1632,53.1,172.0,192.0,6.8
1633,54.6,211.0,171.0,6.9
1634,47.0,176.0,170.0,6.9
1635,77.1,201.0,160.0,6.9
1636,79.3,211.0,154.0,6.9
1637,57.2,149.0,146.0,6.7
1638,51.2,144.0,145.0,6.7
1639,52.4,139.0,141.0,6.7
1640,56.1,142.0,135.0,6.7
1641,56.2,174.0,127.0,6.8
1642,57.6,158.0,122.0,7.1
1643,68.8,171.0,130.0,7.0
1644,129.0,246.0,144.0,7.0
1645,93.9,239.0,143.0,6.8
1646,122.0,245.0,143.0,6.8
1647,145.0,295.0,148.0,6.6
1648,107.0,289.0,153.0,6.8
1649,81.0,198.0,159.0,6.8
1650,85.4,143.0,150.0,6.8
1651,88.6,160.0,150.0,6.7
1652,70.2,166.0,149.0,6.7
1653,64.7,166.0,152.0,6.6
1654,71.5,207.0,159.0,6.7
1655,79.4,221.0,156.0,6.8
1656,187.0,156.0,116.0,6.0
1657,83.7,184.0,138.0,6.6
1658,63.5,172.0,146.0,6.6
1659,54.9,167.0,146.0,6.7
1660,58.9,137.0,136.0,6.4
1661,66.0,160.0,141.0,6.6
1662,63.5,175.0,138.0,6.8
1663,58.4,177.0,145.0,6.9
1664,68.2,190.0,150.0,6.8
1665,63.3,184.0,149.0,6.8
1666,56.0,165.0,142.0,7.0
1667,73.4,212.0,153.0,6.9
1668,85.5,234.0,152.0,6.9
1669,64.7,181.0,139.0,6.9
1670,79.9,231.0,141.0,7.0
1671,75.0,234.0,122.0,7.3
1672,84.0,210.0,120.0,7.3
1673,63.6,176.0,127.0,7.1
1674,64.1,162.0,138.0,6.7
1675,76.2,191.0,147.0,6.7
1676,69.1,207.0,153.0,6.6
1677,64.7,202.0,148.0,6.2
1678,57.1,182.0,149.0,6.2
1679,52.5,162.0,139.0,6.2
1680,51.1,145.0,139.0,6.3
1681,84.9,214.0,150.0,6.6
1682,78.4,193.0,147.0,6.5
1683,68.5,177.0,148.0,6.5
1684,66.4,210.0,152.0,6.5
1685,75.7,228.0,151.0,6.7
1686,71.7,209.0,151.0,6.5
1687,59.6,188.0,150.0,6.5
1688,78.4,209.0,153.0,6.5
1689,66.4,197.0,152.0,6.5
1690,66.3,194.0,149.0,6.5
1691,84.7,229.0,147.0,7.2
1692,57.0,178.0,206.0,7.0
1693,60.0,159.0,192.0,7.0
1694,66.4,154.0,191.0,7.0
1695,76.7,145.0,184.0,6.9
1696,77.4,141.0,173.0,6.9
1697,83.7,207.0,201.0,6.6
1698,76.3,203.0,198.0,6.5
1699,77.3,189.0,194.0,6.5
1700,77.4,170.0,187.0,6.5
1701,76.9,136.0,163.0,6.4
1702,71.7,145.0,164.0,6.5
1703,92.9,149.0,142.0,6.6
1704,90.1,159.0,146.0,6.6
1705,73.7,155.0,137.0,6.7
1706,69.6,126.0,124.0,6.7
1707,77.9,138.0,133.0,6.7
1708,71.9,158.0,164.0,6.6
1709,63.3,156.0,177.0,6.8
1710,75.0,180.0,178.0,6.8
1711,63.5,208.0,200.0,6.7
1712,46.6,176.0,213.0,6.7
1713,62.0,120.0,179.0,6.7
1714,48.9,132.0,189.0,6.6
1715,42.3,116.0,182.0,6.6
1716,48.7,124.0,187.0,6.8
1717,48.2,144.0,192.0,6.9
1718,50.8,152.0,186.0,6.8
1719,46.5,139.0,176.0,6.9
1720,51.4,125.0,163.0,6.9
1721,44.9,137.0,163.0,6.8
1722,44.7,135.0,152.0,6.8
1723,41.7,134.0,145.0,6.8
1724,46.3,138.0,124.0,6.6
1725,39.5,145.0,124.0,6.6
1726,38.3,143.0,127.0,6.4
1727,40.8,133.0,132.0,6.2
1728,42.7,192.0,126.0,6.5
1729,39.4,180.0,122.0,6.5
1730,37.3,162.0,127.0,6.5
1731,29.5,146.0,133.0,6.3
